Module,ASIC,Channel,Count,Gain,Offset,StraightFit,FullFit,Centre1,Centre2,Centre3,Centre4
0,1,110,153630,1.05244,4022.87,2701640,80210.8,411.762,546.512,569.291,1834.24
0,1,111,153578,11.7952,-1470.2,205015,70325.2,407.515,546.815,567.491,640.952
0,1,112,147990,0.771286,4163.25,2799470,89591.9,428.78,565.311,587.057,2278.12
0,1,113,138074,14.478,-2660.67,1833.7,48802.1,403.09,541.932,563.236,582.663
0,1,114,135881,18.4543,-4434.67,262665,102377,413.722,541.675,529.754,539.757
0,1,115,123828,-0.5196,5080.26,4072370,43146.3,420.433,546.586,-196.211,559.883
0,1,116,166265,15.0577,-2918.38,468146,105289,414.937,562.416,522.257,579.263
0,2,0,18734,16.5048,-3917.5,260.167,3032.09,430.368,548.947,569.993,589.437
0,2,1,18721,13.5378,-2080.03,865958,4979.79,420.017,489.338,594.154,561.064
0,2,2,18781,16.3563,-3744.11,34173.4,2440.91,426.422,534.514,566.401,588.424
0,2,3,18554,16.241,-3543.65,836.377,3266.03,414.522,534.258,556.045,576.587
0,2,4,18482,16.3835,-3726.9,1437.3,2936.3,422.062,541.826,560.743,583.418
0,2,5,18332,16.0722,-3751.17,6096.23,3123.19,431.742,551.64,578.5,593.033
0,2,6,18447,16.2885,-3276.44,3519.68,2336.46,397.276,514.599,538.967,558.884
0,2,7,18390,16.4919,-3574.54,578.083,2760.11,409.896,529.324,548.31,569.709
0,2,8,18416,16.2719,-3531.83,867.213,2698.11,412.87,533.748,552.896,575.036
0,2,9,18017,1.343,4751.38,176431,2464.96,-1173.25,525.46,546.61,565.879
0,2,10,17859,16.7452,-3932.34,2242.14,1902.13,425.393,541.74,560.888,583.564
0,2,11,17942,16.2354,-3568.33,986.861,2777.43,416.223,535.9,557.616,578.477
0,2,12,18136,16.2694,-3461.66,1590.65,2654.53,408.695,529.53,548.172,571.22
0,2,13,17925,16.2578,-3618.63,183.879,2652.18,418.507,539.178,559.839,580.183
0,2,14,17979,16.3116,-3520.92,6515.65,1927.17,411.958,527.728,553.946,573.197
0,2,15,17953,17.4781,-4125.41,483068,2094.87,423.617,543.835,565.474,534.31
0,2,16,18156,16.1185,-3773.71,3334.88,3789.41,432.098,551.215,576.583,594.431
0,2,17,17956,16.2962,-3714.87,5262.51,2162.39,424.191,540.569,565.694,585.928
0,2,18,17999,16.2001,-3428.49,1202.16,3022.99,408.536,528.484,549.82,571.395
0,2,19,18025,16.4798,-3427.69,706.326,2572.6,401.08,521.757,539.576,560.691
0,2,20,17877,16.2897,-3648.68,2923.82,1941.46,420.002,537.688,561.889,581.403
0,2,21,18040,16.2653,-3855.67,171.23,2656.77,432.713,553.816,574.962,593.549
0,2,22,17668,16.3259,-3779.81,13051.1,2233.06,428.098,541.451,568.671,590.225
0,2,23,17779,16.2191,-3213.39,2432.23,2029.57,394.951,513.446,537.225,557.156
0,2,24,18099,16.2363,-3671.44,1338.78,2659.65,422.616,541.902,564.095,584.883
0,2,25,17708,16.8174,-3637.34,82782.3,2169.37,408.007,527.641,527.949,568.755
0,2,26,17704,16.2272,-3593.62,184.019,6733.81,417.727,538.521,559.861,579.394
0,2,27,17585,16.4263,-3521.62,13122,1964.35,409.794,522.509,549.07,571.192
0,2,28,17704,16.2302,-3634.3,59.2687,2303.4,420.112,541.259,561.921,581.844
0,2,29,17649,16.4961,-3654.79,124.763,2274.05,414.484,534.46,553.543,573.688
0,2,30,17594,16.3711,-3850.46,1238.63,2301.63,429.876,549.969,568.747,591.247
0,2,31,17698,17.6297,-4161.83,310759,1961.62,418.984,539.735,560.159,538.834
0,2,32,17863,16.3037,-3739.1,1547.41,2549.82,424.84,545.48,564.042,587
0,2,33,17629,16.5008,-3760.75,11968.7,1813.38,422.247,534.701,562.294,582.023
0,2,34,17768,15.9787,-3497.02,10722.6,2413.44,419.196,539.953,558.034,586.721
0,2,35,17720,16.2054,-3491.78,163.319,2660.85,411.952,533.086,554.493,573.648
0,2,36,17545,16.3462,-3650.73,1041.91,2209.99,418.304,537.252,560.12,578.541
0,2,37,17319,16.234,-3704.59,1391.5,2153.97,424.488,545.868,564.36,587.244
0,2,38,17771,16.2647,-3543.82,878.996,2443.06,413.541,534.379,556.635,573.87
0,2,39,17956,16.8234,-3617.9,94047,2361.88,406.796,527.467,525.593,567.151
0,2,40,17407,16.679,-3843.53,7069.93,1889.65,422.413,535.68,559.167,581.408
0,2,41,17379,16.1851,-3481.62,174.166,2542.63,411.828,533.155,554.621,573.669
0,2,42,17401,16.3509,-3459.52,1439.24,3617.93,406.067,526.872,548.818,565.078
0,2,43,17179,15.7968,-3311.67,393.661,4599.51,411.322,535.014,557.472,577.395
0,2,44,17501,16.1431,-3524.12,1472.06,3147.49,415.921,535.699,558.762,578.819
0,2,45,17677,16.2429,-3601.57,89.5084,2876.02,417.751,538.733,559.788,579.157
0,2,46,17528,16.1066,-3623.62,142.76,3317.87,422.461,545.765,565.268,585.147
0,2,47,17468,14.847,-2867.4,3606.66,2394.76,406.903,542.371,564.326,581.048
0,2,48,17265,16.2077,-3385.23,189.022,2378.46,405.376,526.296,547.655,567.259
0,2,49,17174,16.6468,-3788.26,93438.5,2296.39,421.423,542.898,541.46,583.664
0,2,50,17175,16.2749,-3797.73,1873.58,2409.32,429.199,550.177,568.403,591.745
0,2,51,17330,16.6445,-3596.42,6133.6,2392.86,406.933,526.268,548.935,561.501
0,2,52,17248,16.5829,-3408.28,147648,1970.37,401.448,523.851,516.465,564.078
0,2,53,16976,16.3862,-3711.85,448.059,2142.49,420.853,541.353,560.274,581.549
0,2,54,17026,16.1675,-3666.67,229.2,3188.04,423.836,545.096,565.919,586.463
0,2,55,17236,16.6805,-3576.68,63868.5,2020.44,407.227,527.675,530.48,569.106
